kms_driven,owner,age,power,brand,actual_price,predicted_price
24184.0,1,15.0,100.0,7,14800.0,16723.02
13500.0,1,5.0,125.0,7,43000.0,35366.35
5026.0,1,5.0,200.0,7,90000.0,80803.0
51000.0,1,8.0,125.0,7,23000.0,26112.0
30000.0,1,5.0,350.0,2,80000.0,102384.99
10575.0,1,4.0,150.0,8,78000.0,71918.47333333333
43678.0,1,7.0,350.0,2,75000.0,85792.98
12000.0,1,7.0,650.0,14,273200.0,294907.12
33520.0,1,16.0,150.0,7,10000.0,12455.98
9900.0,1,5.0,110.0,5,43999.0,41105.0
62433.0,2,7.0,100.0,6,23000.0,23800.0
2985.0,1,5.0,220.0,7,80000.0,56992.5
17772.0,1,3.0,150.0,8,70926.0,68810.0
14379.0,1,3.0,150.0,4,131000.0,101979.66666666666
841.0,1,5.0,220.0,7,45000.0,52828.16666666666
14252.0,1,8.0,100.0,7,30000.0,23790.0
10544.0,1,9.0,500.0,2,119000.0,93398.4
19492.0,1,10.0,100.0,6,18500.0,20768.0
26000.0,2,7.0,100.0,6,26600.0,24964.0
45000.0,1,12.0,100.0,6,17000.0,18760.666666666668
13146.0,1,3.0,125.0,7,35000.0,38264.03
3500.0,1,2.0,110.0,6,46500.0,54861.17
13000.0,1,8.0,350.0,2,77000.0,89765.0
40000.0,2,9.0,150.0,7,40000.0,23460.71
7582.0,1,4.0,535.0,2,135000.0,127530.6
5000.0,1,4.0,110.0,6,40000.0,49857.94
26000.0,2,12.0,125.0,5,33500.0,17672.0
14500.0,1,7.0,150.0,4,42000.0,67723.0
10975.0,1,6.0,125.0,5,35000.0,33795.0
32579.0,1,6.0,110.0,5,22000.0,30606.0
3700.0,1,2.0,150.0,8,81800.0,74563.75
48101.0,1,6.0,100.0,7,19500.0,27755.0
3542.0,1,3.0,220.0,7,69000.0,72768.0
10750.0,1,15.0,100.0,7,15000.0,15416.67
59500.0,3,5.0,150.0,8,32000.0,40114.51
23522.0,1,5.0,100.0,1,24000.0,23862.33333333333
